"date","Aluminum","Cathode_Copper","Fuel_Oil","Gold","LLDPE","Natural_Rubber","Palm_Oil","PVC","Rebar","Soybean_Meal","Soybean_Oil","Soybeans_No_1","Soybeans_No_2","Wire_Rod","Yellow_Corn","Zinc"
2010-06-01,73690.7655767965,261707.4964005,43405.8892911599,270884.136241991,48476.4688135921,107832.576373574,64726.3909885715,35804.634533005,41063.9930268961,28020.0194879972,75107.5211452359,38250.2458759021,40000,40927.1541723338,18812.771698396,74093.4029628506
2010-07-01,75433.8846306569,267375.269168455,43220.8102401287,261339.574617938,47377.3444534954,109946.770350914,64786.9333537648,35063.2993043697,40973.1464078939,28958.1870563225,75060.6423408497,39038.7745582532,40336.1344537815,40466.8569711538,19211.6509191141,76995.2275117536
2010-08-01,77789.945456547,287567.876221957,44420.5662924096,265628.722093189,52304.4068741099,124523.345787023,71224.5289586662,37267.0101745755,43185.0098114725,30332.6285334732,81135.8044570039,40567.6714044424,41554.2363734485,43527.043375627,19893.8470459775,85806.4135979845
2010-09-01,78857.7057027662,298048.832538884,44098.076778905,276308.445511821,52961.8657627466,129931.897362447,73778.0046568724,38676.0932628529,44210.3965629672,31375.8490371494,82516.683781675,40827.0748206636,42428.6759326993,44694.646799117,20523.0056272757,89484.7845737193
2010-10-01,82770.644996992,316509.903406025,46773.6764832021,290199.076961857,57158.967710673,156015.846667689,82928.4098834074,39993.5014516238,44599.580087852,33870.4532940623,92593.4625957246,43430.7693779721,44673.5395189003,45026.795212766,21915.142761038,100198.115813173
2010-11-01,83682.8282308611,322659.807048946,48875.7855698098,298564.594030849,61377.328981843,167570.065158317,89790.9432519705,43362.8890927506,46622.3285277534,33725.7131197554,97409.3993621811,44919.3334982329,46733.2123411978,46409.1875474563,22967.996594921,95522.827716007
2010-12-01,82981.7917895341,339804.08702,48726.7314142628,303498.832291394,60838.1114433541,174607.486077561,93550.334090795,41359.3003864798,47499.5252868651,33285.6089026536,100751.087009649,44509.3092607008,45822.102425876,47150.6048387097,23045.2931054902,93539.3227438748
2011-01-01,84770.5643290082,357280.533947272,47966.3095109697,295551.30617194,60875.4809890106,193977.859873666,98413.2356446227,41173.7408112343,49391.9035395272,34597.6941357631,105623.677127193,45140.7072953884,46875,48481.7589576547,23348.6634535536,95685.835309388
2011-02-01,85882.5620534136,371699.656467149,48303.3100007534,296812.935331687,60648.5135313496,203384.118841339,97620.0031619784,42705.5191297424,50291.8012892066,34721.3201347765,104628.919040836,45645.9583000113,46082.9493087558,49811.1638954869,24295.5720854576,98510.3065335171
2011-03-01,84123.8907819385,356724.335230102,47965.6038802814,301367.653904075,59043.9200866964,179251.000029773,92246.9866576662,41381.5901813977,47617.1904860391,33591.9448621412,101178.301882988,45426.5725381036,47385.6209150327,48289.6355353075,24088.5471202361,91904.1864672512
2011-04-01,84040.2661975594,354917.22374914,49499.784314475,311869.535390665,59389.828345457,172984.154116288,92568.156104581,42038.9487888276,48663.5326080847,33584.7681555652,103182.006756229,46019.3138349115,47513.8121546961,48557.4786324786,24009.3941364285,89518.840493247
2011-05-01,83466.1080249398,334270.825848341,49629.6775280608,313624.674968811,53890.4694401438,157272.526212901,90670.4657295202,41051.181030429,48425.218994383,33011.5705650111,100680.798744061,44208.5098745607,47138.0471380471,48321.6312056738,23866.1320755109,84376.915284362
2011-06-01,85382.0607703769,339402.32695866,50180.1338879413,318125.210236232,52825.4918949245,163066.986245749,91145.8553300278,40245.1324118455,47681.8583791782,33190.3911880122,102289.293054674,44615.6657047713,49773.7556561086,48618.3098591549,23711.9137005236,86732.7930793217
2011-07-01,89551.8278881963,358846.266663943,50333.3405302703,327013.821575142,57748.1169549645,174237.562983344,90398.5797701442,41449.1167913787,48575.287470001,33567.0837304221,102208.065163255,45529.1488052175,48286.6043613707,47818.1818181818,23112.3507577879,92226.5600019926
2011-08-01,87919.0162518473,337621.99847879,49661.0734417781,370715.506387529,54899.4998366522,169161.030772288,89063.9335100237,40309.0944229796,48343.9313838088,33274.3967778886,101308.927716923,46363.381260356,49056.6037735849,47241.8831168831,23778.1564136905,85300.890029147
2011-09-01,83845.4025280282,300274.156511419,48601.2978463275,370929.632828177,50136.9191308609,155226.442752604,86574.7054552885,36743.7465345298,45853.071651033,32267.7765623122,100388.104955072,45827.4872374847,49435.0282485876,46181.0606060606,23485.189172216,80229.0018837462
2011-10-01,82074.333281573,276740.6593306,52003.3687241317,345046.819624997,46344.8590685646,136012.014624186,79361.9882791819,33475.5134712044,40984.2918888116,30041.636035328,92607.3464526095,43204.8628287071,46574.1155396328,40457.5880758808,22583.2982588753,74569.2705341758
2011-11-01,80361.3358090901,282514.83963389,94962.9015326475,357917.836521288,48093.3251547476,128227.334125686,80458.7788513281,33520.4435308642,41039.855858035,28824.4399555543,90109.8553952346,43179.0660674684,47197.6401179941,40493.0025445293,22119.5122675236,75698.1461979934
2011-12-01,79883.2427642934,278657.620759415,253657.80075188,334897.81570219,47353.2680856462,127096.369979232,78995.2977642698,34333.3942188225,41793.3658893111,28479.5218026506,88228.7005867669,42951.9279593596,46632.1243523316,41428.231292517,22379.5389196245,75573.1959968921
2012-01-01,80824.4134860783,289493.329545921,261792.057382785,336481.238268612,49298.3137920249,127885.500875704,80579.4660048579,34936.6029889237,42323.3187784231,29316.9340121323,90186.9620292447,43271.0245337551,49689.4409937888,42789.527027027,22965.8600656075,76404.3446650918
2012-02-01,81093.1911283088,301997.92189887,267786.883408072,355786.481888168,51343.0011249565,143736.432440649,82488.8636014256,35156.3106042976,42500.6681161413,30429.3301147943,92901.4032204852,44272.037210046,46822.7424749164,42142.9347826087,23765.2325336667,79689.1653962692
2012-03-01,81063.9831103833,301882.932173103,273929.516129032,343419.045826751,53593.6350954927,155767.454714038,85731.962764968,35172.8039498046,43172.4165362479,32076.5378631029,95834.5917513429,45162.500795724,47904.1916167665,42865.9375,24481.6492638548,78893.5258250373
2012-04-01,80589.5902236312,290571.116348328,274078.116531165,337217.330405125,52717.9898104483,261294.281611607,88662.6932434245,34986.5015868155,43331.7431743593,33596.4934758117,99399.9207751378,46734.3760925276,50373.1343283582,43109.6330275229,24158.6900398075,77557.5684569855
2012-05-01,80507.9270261985,280569.436025388,258658.896103896,324498.293643176,49552.4631642176,248281.012368457,81976.765162923,33717.3828307881,41101.6695629032,32188.1664815442,94539.4590465735,44243.2564644367,47254.1507024266,40068.5628742515,23557.6064111754,75476.7194072151
2012-06-01,77362.561535937,270513.59143137,235513.506815366,330720.99588526,46873.6093842386,227030.782957841,78403.2980917883,32253.8970913008,40943.0964415179,32974.7707779619,92798.5827407291,44409.8127956125,45401.6298020955,40550.4118616145,23547.6599019662,73101.6320810551
2012-07-01,77541.759268402,276487.948479973,236929.922779923,329330.376449185,49649.5670964834,235801.305065164,80588.1900575475,32763.6721936195,38704.615323365,36477.8027976777,96721.080857612,47231.5181989983,46461.3722312264,38968.1578947368,23950.1906654394,73484.6480408953
2012-08-01,76693.1910560261,274324.983216226,244712.916666667,338008.709994323,49745.3109407572,219041.931316589,79446.1950312572,32637.0336300076,35700.1313568412,38526.2320990743,97493.4663179998,47715.256377311,47424.3663123467,37252.5835866261,24175.4310126033,72980.2659963059
2012-09-01,78430.1879421795,291996.522369609,247892.151162791,358777.140698798,52822.2621970149,233704.557743398,78043.9748893743,33321.7696141978,34683.2221494974,39390.3444218567,98597.3375803228,49029.2394594454,49074.0740740741,35878.4615384615,23743.9278278973,77153.7486524566
2012-10-01,77303.9822628642,290040.409523578,246364.175257732,353325.243775862,51095.5532019382,249920.552380544,70201.2081955192,32358.1639334239,36510.2866402479,36367.1658928869,91592.3484576483,47815.5237524539,47794.1176470588,37052.5806451613,23799.2015916947,75343.5750914493
2012-11-01,76619.963209089,280675.115026935,249081.578947368,350642.382254656,49750.4432755613,241020.791148151,66878.1443613307,32252.7347488458,36005.0934970314,33495.6495823534,85938.9133595506,48023.6329937715,47071.129707113,36286.0103626943,24166.2373794199,75162.4311430238
2012-12-01,76592.4261544586,287456.22802621,250893.209876543,342892.480856198,52561.0879216816,250020.359654692,68737.1278466895,32864.5451470919,37533.3872698413,33861.4486168255,86737.7396250392,47785.0148484726,46875,37875.0814332248,24490.0204083503,77408.5077396978
2013-01-01,76112.1873652436,292376.287240191,257144.166666667,340353.524716926,53890.7279225891,259523.236412612,69293.5775222719,33506.9517565411,40068.8832300143,33196.6273897839,86906.028022209,47927.0893544079,46413.5021097046,39972.6130653266,24505.3265814617,77767.3230618789
2013-02-01,75164.6696134904,292289.200305829,260721.022727273,329993.496388772,55935.2714754524,257517.784930384,69312.2235842162,33781.4296498461,41147.8560892764,34112.0054720084,85940.2662544,48120.5038528249,46413.5021097046,38066.8049792531,24357.19945074,79246.7671938719
2013-03-01,73829.0692599026,280141.763373047,258678.395061728,323876.759758972,52921.2163892608,231636.303499514,64271.4093850269,33139.2276582275,38832.632806909,33634.2192600008,81506.7819968215,47798.4139955971,45454.5454545455,39055.0127442651,24317.7658723092,75745.2546711161
2013-04-01,73001.7675251167,259254.726267399,255467.213114754,288611.587218703,49919.9895113564,201237.305282004,61544.7906845674,32715.5845761359,37260.8171805436,31449.2340802087,76550.0234603485,47724.5787166978,42226.4875239923,37553.3546325879,23980.4027311506,72904.3220435587
2013-05-01,73008.5355757612,262167.594087826,251141.666666667,282823.565691519,50834.14107759,199154.783577306,60917.3647810584,32935.3536230626,35735.9240453134,32029.8378937858,74798.1491835636,47361.3040843113,40333.7969401947,36731.0039370079,24138.1784684602,72677.1905100652
2013-06-01,73181.1946701922,251571.543064575,241962.5,263165.333365458,52321.9814747421,181543.582840661,61267.805834511,33028.063653262,34763.9582655465,33049.1246045392,74703.2565979525,47077.4166032147,41587.9017013233,35643.4650455927,24010.9780474058,72896.7932724178
2013-07-01,71652.1572426591,248745.168116763,244491.666666667,258752.674006584,52762.4125857811,179079.845023569,56917.0586576594,33497.0969182671,36309.7853489637,32441.4178048202,72165.0265253812,44373.5084165951,40417.2099087353,36062.9310344828,23773.6978525078,72991.2190565919
2013-08-01,71893.0399656824,258730.173645772,236378.712871287,268358.359245524,54287.2177128637,194791.402521349,55788.5683977318,33709.9716619917,37711.9860769881,33373.6300144531,71371.3857113553,44379.2471032238,41487.8397711016,37618.4397163121,23338.4408132205,74775.9366034437
2013-09-01,71139.81533722,259607.903484416,217517.816091954,270391.831312322,54392.1160388971,206203.764549559,55491.7119521059,33044.6223001864,36904.712625034,35447.6748251522,71707.3484965149,45382.9682209724,41308.0895008606,37598.6413043478,23334.7050382446,73788.7075891613
2013-10-01,72007.1890755867,259399.864145327,208942.452830189,261277.534339028,56242.663074531,203569.645610392,59785.3318159991,32382.8539339864,36014.1902662616,34410.5346093581,71350.3197555322,45648.9150922543,39473.6842105263,36550.7246376812,23363.7071509116,74949.9119539906
2013-11-01,71053.8422385834,254100.779646125,216459.693877551,254101.799681147,55615.7350116725,193021.279323592,62840.9164780484,32044.655778375,36401.5834840354,33344.2898274108,72430.2905068177,44512.5037566631,40000,36837.0229007634,23476.5860941115,74326.4729239108
2013-12-01,70167.9661552465,256778.689462596,224162.666666667,245152.543699395,56137.2473150642,192174.165871802,61269.4932898038,32034.8698140454,36677.5708187332,33474.931096434,71043.9142273154,43864.9460111886,40284.3601895735,36597.4358974359,23444.5005620815,75771.4830013513
2014-01-01,68773.6531718759,258067.643086519,210394.791666667,246220.126853545,54887.2659325332,167195.185355672,58885.1119614421,31824.0777050466,34813.3565160725,32676.3114268041,66576.136303689,45079.9699741159,41811.8466898955,35635.6382978723,23610.2272415862,75743.2582321096
2014-02-01,67024.3982023025,250779.760534703,210836.458333333,258415.215507031,53435.1099803473,155823.980107793,60868.7377794421,31137.1242388949,34082.107795361,33166.4088442551,67619.9203363237,45389.3558266052,38759.6899224806,34965,23479.6506465622,75724.7385303485
2014-03-01,65143.0858214839,228285.708471524,199141.830065359,264663.643910345,52176.5010974967,152518.405832281,62715.4085514306,29937.983289221,32711.6233301752,32948.2557731692,70045.2381621595,43892.7301067104,39867.1096345515,33123.4265734266,23641.6905984394,74614.1567959105
2014-04-01,66588.4248750234,233926.189565022,194846.478873239,259516.365642957,54734.1110529093,149129.975026449,61803.3227375972,30832.9851548044,33125.4078853922,34967.0910142229,70178.3077767107,43609.0477375709,39603.9603960396,34303.6585365854,23558.9711627286,75069.7019197589
2014-05-01,66559.5626231162,241281.037471726,194004.166666667,259573.612277091,55699.0452604318,144980.878080456,59886.3392242743,30527.4125967145,31343.3906505585,36429.909300223,68459.1968460208,45335.4695222654,40909.0909090909,33209.8039215686,23656.973878758,75931.8177707779
2014-06-01,67746.6404190406,241743.236522203,192058.888888889,258390.848699325,58188.4969160297,148474.778671943,59226.9340556231,30395.8091833394,30545.6449394902,36336.5938264178,68721.3195101297,45085.7841001721,39719.6261682243,31976.0869565217,23769.2310270064,77896.2385349582
2014-07-01,69611.618655259,252475.614993075,185332.407407407,263011.641945683,57959.7700987457,150137.553817804,57189.3324889721,30196.5743906818,30909.1601874192,33316.1374794539,65464.5967648704,43607.2770162655,35842.29390681,32331.6666666667,23574.17311104,83610.9054106144
2014-08-01,70971.4161605155,249297.288436614,147148.951048951,258437.687107111,54922.3450328175,150615.485438343,53678.2961286828,29921.6710182768,30351.9093364957,32516.3312942508,61364.444463222,45650.1641438322,35663.3380884451,32203.125,23985.4397175179,83746.0842298403
2014-09-01,72494.9535905394,243068.884657586,153278.395061728,246039.502495286,51996.3343729776,131667.997633274,52043.8108762162,29488.2087988352,27174.7662951392,30062.8805013023,59810.5412630265,45992.072803465,33368.0917622523,29153.2258064516,23751.554021184,82467.5333985677
2014-10-01,69087.89597412,237199.001276929,156138.636363636,243066.25078499,48987.1391042734,129290.247987739,52442.868812767,27998.6598168416,25944.1192567322,29536.7707856894,58776.5741424526,44460.5658617473,32835.8208955224,28526.3157894737,23696.3633061447,82774.6261069937
2014-11-01,69179.1266967397,235370.497444766,162504.060913706,232454.499163287,48529.6131195827,128202.439348533,53311.5252240241,28416.3280160126,25135.6344489352,29419.1848405001,58985.2803449696,44259.3190281111,34383.9541547278,29240.625,24003.7551120958,83660.0245643424
2014-12-01,66537.3201087641,227701.14602948,158028.571428571,241078.781994215,42146.2736673859,124303.323594231,50224.3330131738,27201.3899767863,25449.7877012071,28834.9606902547,56684.291514645,44263.7892306232,34188.0341880342,27951.6129032258,23977.4863199935,82216.2773022315
